#- KNL
nspec nwave ntot rate
  2   5   10 3.241196
  2  10   20 10.089459
  2  20   40 11.324066
  2  50  100 11.516879
  5   5   25 7.662928
  5  10   50 23.197596
  5  20  100 30.808676
  5  50  250 29.270679
 10   5   50 8.330777
 10  10  100 30.368262
 10  20  200 33.259103
 10  50  500 31.315784
 20   5  100 5.955570
 20  10  200 16.415432
 20  20  400 14.799395
 20  50 1000 12.271877
 25   5  125 3.840802
 25  10  250 17.249202
 25  20  500 17.186381
 25  50 1250 10.064349
