# wakeup time 12.8
# setup time 12.4
# Running on nid08241/x86_64 with 272 logical cores
# bundlesize 5 numwave 50
# OMP_NUM_THREADS=1
nproc time rate
1     9.6  52.1
4    10.9 182.7
16   11.0 727.3
64   12.0 2665.8
128  19.5 3282.0
256  39.2 3264.9
