# Running on nid00031/x86_64 with 64 logical cores
# bundlesize 5 numwave 50
nproc time rate wakeup setup
  1   1.1 441.9   4.3  1.9
  4   1.3 1555.0  5.7  1.9
 16   1.5 5184.5  15.6 2.4
 32   1.4 11115.6 27.8 2.4
 64   3.4 9319.1  58.5 4.6
